trial_id,loss,accuracy,f1_score,precision,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/lr,config/batch_size,config/epochs,config/freeze,config/model,config/with_mlp
06f9a_00024,0.6389522063426483,61.53846153846154,0.6641791044776119,0.6054421768707483,0.7355371900826446,100.03034734725952,True,,,10,21c6e23e1bfc4eec92414e36d8bd8944,2023-01-11_22-08-09,1673464089,999.482494354248,16028,DESKTOP-G9R02TV,127.0.0.1,999.482494354248,0,10,0.0,"24_batch_size=2,freeze=True,lr=0.0005,model=densenet201,with_mlp=False",0.0005,2,10,True,densenet201,False
06f9a_00025,0.6232064402001536,64.1025641025641,0.6440677966101696,0.6608695652173913,0.628099173553719,72.47080683708191,True,,,10,9e3a611bb8f04ed1956a7beeb8b6e1b8,2023-01-11_22-20-21,1673464821,726.4417493343353,21240,DESKTOP-G9R02TV,127.0.0.1,726.4417493343353,0,10,0.015621662139892578,"25_batch_size=4,freeze=True,lr=0.0005,model=densenet201,with_mlp=False",0.0005,4,10,True,densenet201,False
06f9a_00026,0.627548087356437,64.1025641025641,0.5961538461538461,0.7126436781609196,0.512396694214876,59.38124942779541,True,,,10,e35b68382321403abfe5f29d8466e1af,2023-01-11_22-30-23,1673465423,598.5788726806641,10328,DESKTOP-G9R02TV,127.0.0.1,598.5788726806641,0,10,0.0,"26_batch_size=8,freeze=True,lr=0.0005,model=densenet201,with_mlp=False",0.0005,8,10,True,densenet201,False
06f9a_00027,0.629964583959335,61.965811965811966,0.6147186147186148,0.6454545454545455,0.5867768595041323,219.38952112197876,True,,,10,2c1288fc6fbf4eabb4b84aec5552ff8f,2023-01-11_23-06-28,1673467588,2160.195250749588,15932,DESKTOP-G9R02TV,127.0.0.1,2160.195250749588,0,10,0.0,"27_batch_size=2,freeze=False,lr=0.0005,model=densenet201,with_mlp=False",0.0005,2,10,False,densenet201,False
06f9a_00028,0.690920185839009,61.965811965811966,0.46706586826347307,0.8478260869565217,0.32231404958677684,130.26166605949402,True,,,10,4155d036c3c9445b993df65605ef08ea,2023-01-11_23-28-05,1673468885,1292.5604286193848,11452,DESKTOP-G9R02TV,127.0.0.1,1292.5604286193848,0,10,0.015595674514770508,"28_batch_size=4,freeze=False,lr=0.0005,model=densenet201,with_mlp=False",0.0005,4,10,False,densenet201,False
06f9a_00029,0.6749911838107638,66.23931623931624,0.6146341463414634,0.75,0.5206611570247934,89.1259036064148,True,,,10,1f52558e609444d3ba580b502a043ae7,2023-01-11_23-42-55,1673469775,886.184668302536,22096,DESKTOP-G9R02TV,127.0.0.1,886.184668302536,0,10,0.0,"29_batch_size=8,freeze=False,lr=0.0005,model=densenet201,with_mlp=False",0.0005,8,10,False,densenet201,False
06f9a_00030,0.6275238950028379,64.52991452991454,0.6612244897959184,0.6532258064516129,0.6694214876033058,100.6362235546112,True,,,10,3dfadf3c7baa4f219e154d7553c5247f,2023-01-11_23-59-43,1673470783,1004.0465443134308,21112,DESKTOP-G9R02TV,127.0.0.1,1004.0465443134308,0,10,0.0,"30_batch_size=2,freeze=True,lr=0.0001,model=densenet201,with_mlp=False",0.0001,2,10,True,densenet201,False
06f9a_00031,0.6252417279104902,65.38461538461539,0.6639004149377594,0.6666666666666666,0.6611570247933884,72.75098848342896,True,,,10,8c6caae1dc4a4405a838de805879423e,2023-01-12_00-11-57,1673471517,729.8439898490906,15612,DESKTOP-G9R02TV,127.0.0.1,729.8439898490906,0,10,0.0,"31_batch_size=4,freeze=True,lr=0.0001,model=densenet201,with_mlp=False",0.0001,4,10,True,densenet201,False
06f9a_00032,0.6172857040014023,65.38461538461539,0.6720647773279352,0.6587301587301587,0.6859504132231405,59.6543333530426,True,,,10,f314c27045d94aa999ee95f476b03745,2023-01-12_00-22-02,1673472122,599.909460067749,14016,DESKTOP-G9R02TV,127.0.0.1,599.909460067749,0,10,0.015603780746459961,"32_batch_size=8,freeze=True,lr=0.0001,model=densenet201,with_mlp=False",0.0001,8,10,True,densenet201,False
06f9a_00033,0.8632380819728231,57.26495726495726,0.537037037037037,0.6105263157894737,0.4793388429752066,220.2992069721222,True,,,10,866ca0c3460b4357ae598d677026cad2,2023-01-12_00-58-27,1673474307,2180.821686267853,16896,DESKTOP-G9R02TV,127.0.0.1,2180.821686267853,0,10,0.0,"33_batch_size=2,freeze=False,lr=0.0001,model=densenet201,with_mlp=False",0.0001,2,10,False,densenet201,False
