trial_id,loss,accuracy,f1_score,precision,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/batch_size,config/alr,config/epochs,config/freeze,config/model,config/with_mlp
32d64_00021,0.6847080328525641,58.119658119658126,0.668918918918919,0.5657142857142857,0.8181818181818182,90.3012158870697,True,,,10,62eb39a0e6fa4e6bad41510a3a199531,2023-01-17_22-01-28,1673982088,897.1482496261597,11160,DESKTOP-G9R02TV,127.0.0.1,897.1482496261597,0,10,0.0,"21_alr=0.0000,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,1e-05,10,True,mobilenet_v2,False
32d64_00022,0.6923332540397971,55.12820512820513,0.6601941747572815,0.5425531914893617,0.8429752066115702,90.17586064338684,True,,,10,482dda853a3d41aab22fd9eca82bec5b,2023-01-17_22-16-26,1673982986,893.803284406662,6392,DESKTOP-G9R02TV,127.0.0.1,893.803284406662,0,10,0.0,"22_alr=0.0000,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,5e-06,10,True,mobilenet_v2,False
32d64_00023,0.6951393062232906,51.70940170940172,0.6816901408450705,0.5170940170940171,1.0,89.71346473693848,True,,,10,1ac0ab959dae4825a1095f3fc43609c3,2023-01-17_22-31-29,1673983889,897.9119606018066,14544,DESKTOP-G9R02TV,127.0.0.1,897.9119606018066,0,10,0.015621185302734375,"23_alr=0.0000,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,1e-06,10,True,mobilenet_v2,False
32d64_00024,0.6135809482672275,70.94017094017094,0.6991150442477877,0.7523809523809524,0.6528925619834711,67.33193969726562,True,,,10,94ee9a2130b440ef84d30de816d05280,2023-01-17_22-42-48,1673984568,674.5117018222809,25740,DESKTOP-G9R02TV,127.0.0.1,674.5117018222809,0,10,0.0,"24_alr=0.0005,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,0.0005,10,True,mobilenet_v2,False
32d64_00025,0.6455758249657786,65.38461538461539,0.689655172413793,0.6428571428571429,0.743801652892562,67.73071789741516,True,,,10,97ce7e3e75744e8c9c69cd7f912ae6ab,2023-01-17_22-54-11,1673985251,678.0283498764038,11176,DESKTOP-G9R02TV,127.0.0.1,678.0283498764038,0,10,0.015621662139892578,"25_alr=0.0001,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,0.0001,10,True,mobilenet_v2,False
32d64_00026,0.6642437144222423,67.52136752136752,0.6859504132231405,0.6859504132231405,0.6859504132231405,67.85156178474426,True,,,10,2c75a9d2ccad46a8b964481594b0682e,2023-01-17_23-05-39,1673985939,683.07963347435,25584,DESKTOP-G9R02TV,127.0.0.1,683.07963347435,0,10,0.015592575073242188,"26_alr=0.0001,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,5e-05,10,True,mobilenet_v2,False
32d64_00027,0.685395265236879,59.401709401709404,0.6468401486988848,0.5878378378378378,0.71900826446281,67.05318570137024,True,,,10,3bb9e9e0567c4653bbaa68b6bff8172b,2023-01-17_23-17-00,1673986620,677.0094544887543,12968,DESKTOP-G9R02TV,127.0.0.1,677.0094544887543,0,10,0.0,"27_alr=0.0000,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,1e-05,10,True,mobilenet_v2,False
32d64_00028,0.685769301194411,57.692307692307686,0.6857142857142857,0.5567010309278351,0.8925619834710744,67.873286485672,True,,,10,6303c537fec243b78d965a6274c101c0,2023-01-17_23-28-23,1673987303,677.6031422615051,35412,DESKTOP-G9R02TV,127.0.0.1,677.6031422615051,0,10,0.0,"28_alr=0.0000,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,5e-06,10,True,mobilenet_v2,False
32d64_00029,0.6952574640257746,47.008547008547005,0.27906976744186046,0.47058823529411764,0.19834710743801653,68.39101672172546,True,,,10,19390f6562f14668992c333d88520299,2023-01-17_23-39-45,1673987985,677.4569537639618,11104,DESKTOP-G9R02TV,127.0.0.1,677.4569537639618,0,10,0.0,"29_alr=0.0000,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,1e-06,10,True,mobilenet_v2,False
32d64_00030,0.6173072228064904,67.09401709401709,0.6751054852320676,0.6896551724137931,0.6611570247933884,64.08969259262085,True,,,10,99f3e290c6d348cca9c01bd31973dbe1,2023-01-17_23-50-32,1673988632,643.2464542388916,32452,DESKTOP-G9R02TV,127.0.0.1,643.2464542388916,0,10,0.015621423721313477,"30_alr=0.0005,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,0.0005,10,True,mobilenet_v2,False
32d64_00031,0.6513604710244725,64.95726495726495,0.6796875000000001,0.6444444444444445,0.71900826446281,64.32179379463196,True,,,10,abfd3596278c47ffabb4b2587ddee475,2023-01-18_00-01-23,1673989283,644.4778952598572,21176,DESKTOP-G9R02TV,127.0.0.1,644.4778952598572,0,10,0.0,"31_alr=0.0001,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,0.0001,10,True,mobilenet_v2,False
32d64_00032,0.6662651127220219,63.24786324786324,0.6814814814814814,0.6174496644295302,0.7603305785123967,63.81101846694946,True,,,10,53715414e9cb487c8567f96c9acbd982,2023-01-18_00-12-11,1673989931,642.5771851539612,31956,DESKTOP-G9R02TV,127.0.0.1,642.5771851539612,0,10,0.015622377395629883,"32_alr=0.0001,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,5e-05,10,True,mobilenet_v2,False
32d64_00033,0.6850836338141025,58.97435897435898,0.6734693877551021,0.5722543352601156,0.8181818181818182,64.31178593635559,True,,,10,53df5433b7bc456faf46bb4dc9516ff3,2023-01-18_00-23-02,1673990582,645.8143577575684,13912,DESKTOP-G9R02TV,127.0.0.1,645.8143577575684,0,10,0.015594244003295898,"33_alr=0.0000,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,1e-05,10,True,mobilenet_v2,False
32d64_00034,0.6906721327039931,51.70940170940172,0.6666666666666666,0.518348623853211,0.9338842975206612,64.13874340057373,True,,,10,641caf0bcd2942138c30b2568ecfbdd1,2023-01-18_00-33-50,1673991230,643.5218315124512,31080,DESKTOP-G9R02TV,127.0.0.1,643.5218315124512,0,10,0.015594720840454102,"34_alr=0.0000,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,5e-06,10,True,mobilenet_v2,False
32d64_00035,0.6903408083141359,50.85470085470085,0.14814814814814814,0.7142857142857143,0.08264462809917356,64.34314608573914,True,,,10,486ce17a3cdc4478b71c9e1564df8269,2023-01-18_00-44-38,1673991878,643.8649072647095,30192,DESKTOP-G9R02TV,127.0.0.1,643.8649072647095,0,10,0.0,"35_alr=0.0000,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,1e-06,10,True,mobilenet_v2,False
